time_ms,index,level,duration_us
73742,0,1,2308
73742,1,0,3972
73742,2,1,4000
73742,3,0,492
73742,4,1,1999
73742,5,0,489
73742,6,1,2002
73742,7,0,490
73742,8,1,2000
73742,9,0,491
73742,10,1,2001
73742,11,0,490
73742,12,1,1010
73742,13,0,490
73742,14,1,1011
73742,15,0,490
73742,16,1,2002
73742,17,0,489
73742,18,1,2002
73742,19,0,489
73742,20,1,2002
73742,21,0,489
73742,22,1,2002
73742,23,0,489
73742,24,1,2002
73742,25,0,489
73742,26,1,2003
73742,27,0,490
73742,28,1,1010
73742,29,0,490
73742,30,1,1011
73742,31,0,489
73742,32,1,1012
73742,33,0,489
73742,34,1,1012
73742,35,0,488
73742,36,1,2004
73742,37,0,488
73742,38,1,2004
73742,39,0,488
73742,40,1,1013
73742,41,0,488
73742,42,1,1013
73742,43,0,487
73742,44,1,1014
73742,45,0,488
73742,46,1,1014
73742,47,0,487
73742,48,1,1013
73742,49,0,487
73742,50,1,1014
73742,51,0,487
